Order_ID,Order_Date,Product,Category,Units_Sold,Unit_Price,Discount,Revenue
1106,2025-06-01,Mouse,Accessories,4,1200,0.05,4560.0
1107,2025-06-01,Keyboard,Accessories,1,2200,0.1,1980.0
1108,2025-06-01,Laptop,Electronics,4,65000,0.05,247000.0
1109,2025-07-01,Monitor,Electronics,1,18000,0.0,18000.0
1110,2025-07-01,Office Chair,Furniture,5,8500,0.0,42500.0
1111,2025-07-01,Mouse,Accessories,2,1200,0.05,2280.0
1112,2025-07-01,Office Chair,Furniture,4,8500,0.15,28900.0
1113,2025-07-01,Office Chair,Furniture,2,8500,0.1,15300.0
1114,2025-07-01,Keyboard,Accessories,1,2200,0.05,2090.0
1115,2025-07-01,Smartphone,Electronics,4,28000,0.0,112000.0
1116,2025-07-01,Desk,Furniture,1,12000,0.0,12000.0
1117,2025-07-01,Laptop,Electronics,5,65000,0.05,308750.0
1118,2025-07-01,Smartphone,Electronics,5,28000,0.1,126000.0
1119,2025-07-01,Keyboard,Accessories,3,2200,0.1,5940.0
1120,2025-07-01,Monitor,Electronics,1,18000,0.0,18000.0
1121,2025-07-01,Headphones,Accessories,5,3500,0.1,15750.0
1122,2025-07-01,Keyboard,Accessories,2,2200,0.05,4180.0
1123,2025-07-01,Monitor,Electronics,4,18000,0.1,64800.0
1124,2025-07-01,Monitor,Electronics,4,18000,0.0,72000.0
1125,2025-07-01,Laptop,Electronics,2,65000,0.0,130000.0
1126,2025-07-01,Laptop,Electronics,4,65000,0.1,234000.0
1127,2025-08-01,Headphones,Accessories,3,3500,0.0,10500.0
1128,2025-08-01,Headphones,Accessories,2,3500,0.05,6650.0
1129,2025-08-01,Monitor,Electronics,5,18000,0.0,90000.0
1130,2025-08-01,Mouse,Accessories,1,1200,0.05,1140.0
1131,2025-08-01,Headphones,Accessories,1,3500,0.1,3150.0
1132,2025-08-01,Headphones,Accessories,2,3500,0.0,7000.0
1133,2025-08-01,Mouse,Accessories,5,1200,0.0,6000.0
1134,2025-08-01,Smartphone,Electronics,2,28000,0.0,56000.0
1135,2025-08-01,Keyboard,Accessories,1,2200,0.0,2200.0
1136,2025-08-01,Desk,Furniture,1,12000,0.0,12000.0
1137,2025-08-01,Monitor,Electronics,1,18000,0.05,17100.0
1138,2025-08-01,Office Chair,Furniture,4,8500,0.0,34000.0
1139,2025-08-01,Monitor,Electronics,2,18000,0.05,34200.0
1140,2025-08-01,Desk,Furniture,5,12000,0.1,54000.0
1141,2025-08-01,Office Chair,Furniture,1,8500,0.0,8500.0
1142,2025-08-01,Mouse,Accessories,2,1200,0.0,2400.0
1143,2025-08-01,Desk,Furniture,3,12000,0.0,36000.0
1144,2025-08-01,Headphones,Accessories,1,3500,0.0,3500.0
1145,2025-09-01,Mouse,Accessories,3,1200,0.0,3600.0
1146,2025-09-01,Laptop,Electronics,5,65000,0.0,325000.0
1147,2025-09-01,Keyboard,Accessories,5,2200,0.0,11000.0
1148,2025-09-01,Monitor,Electronics,5,18000,0.1,81000.0
1149,2025-09-01,Smartphone,Electronics,5,28000,0.1,126000.0
1150,2025-09-01,Office Chair,Furniture,4,8500,0.05,32300.0
1151,2025-09-01,Office Chair,Furniture,4,8500,0.0,34000.0
1152,2025-09-01,Monitor,Electronics,3,18000,0.05,51300.0
1153,2025-09-01,Mouse,Accessories,5,1200,0.05,5700.0
1154,2025-09-01,Monitor,Electronics,2,18000,0.05,34200.0
1155,2025-09-01,Smartphone,Electronics,2,28000,0.0,56000.0
1156,2025-09-01,Keyboard,Accessories,3,2200,0.0,6600.0
1157,2025-09-01,Office Chair,Furniture,2,8500,0.0,17000.0
1158,2025-09-01,Office Chair,Furniture,2,8500,0.0,17000.0
1159,2025-09-01,Keyboard,Accessories,2,2200,0.05,4180.0
1160,2025-09-01,Smartphone,Electronics,2,28000,0.1,50400.0
1161,2025-09-01,Desk,Furniture,5,12000,0.05,57000.0
1162,2025-09-01,Monitor,Electronics,2,18000,0.05,34200.0
1163,2025-10-01,Mouse,Accessories,5,1200,0.05,5700.0
1164,2025-10-01,Smartphone,Electronics,5,28000,0.05,133000.0
1165,2025-10-01,Monitor,Electronics,4,18000,0.0,72000.0
1166,2025-10-01,Smartphone,Electronics,4,28000,0.0,112000.0
1167,2025-10-01,Office Chair,Furniture,4,8500,0.1,30600.0
1168,2025-10-01,Mouse,Accessories,1,1200,0.05,1140.0
1169,2025-10-01,Desk,Furniture,1,12000,0.05,11400.0
1170,2025-10-01,Office Chair,Furniture,1,8500,0.1,7650.0
1171,2025-10-01,Desk,Furniture,1,12000,0.15,10200.0
1172,2025-10-01,Smartphone,Electronics,5,28000,0.05,133000.0
1173,2025-10-01,Keyboard,Accessories,4,2200,0.1,7920.0
1174,2025-10-01,Mouse,Accessories,5,1200,0.0,6000.0
1175,2025-10-01,Desk,Furniture,3,12000,0.0,36000.0
1176,2025-10-01,Office Chair,Furniture,4,8500,0.0,34000.0
1177,2025-10-01,Smartphone,Electronics,3,28000,0.05,79800.0
1178,2025-10-01,Keyboard,Accessories,3,2200,0.05,6270.0
1179,2025-10-01,Desk,Furniture,4,12000,0.1,43200.0
1180,2025-10-01,Office Chair,Furniture,3,8500,0.05,24225.0
1181,2025-11-01,Smartphone,Electronics,5,28000,0.0,140000.0
1182,2025-11-01,Monitor,Electronics,1,18000,0.0,18000.0
1183,2025-11-01,Keyboard,Accessories,4,2200,0.0,8800.0
1184,2025-11-01,Mouse,Accessories,4,1200,0.05,4560.0
1185,2025-11-01,Desk,Furniture,2,12000,0.1,21600.0
1186,2025-11-01,Monitor,Electronics,4,18000,0.0,72000.0
1187,2025-11-01,Monitor,Electronics,2,18000,0.0,36000.0
1188,2025-11-01,Headphones,Accessories,1,3500,0.0,3500.0
1189,2025-11-01,Laptop,Electronics,5,65000,0.0,325000.0
1190,2025-11-01,Desk,Furniture,2,12000,0.05,22800.0
1191,2025-11-01,Smartphone,Electronics,3,28000,0.1,75600.0
1192,2025-11-01,Headphones,Accessories,4,3500,0.05,13300.0
1193,2025-11-01,Smartphone,Electronics,2,28000,0.15,47600.0
1194,2025-11-01,Laptop,Electronics,4,65000,0.15,221000.0
1195,2025-11-01,Keyboard,Accessories,1,2200,0.1,1980.0
1196,2025-11-01,Mouse,Accessories,4,1200,0.0,4800.0
1197,2025-11-01,Keyboard,Accessories,3,2200,0.05,6270.0
1198,2025-11-01,Office Chair,Furniture,1,8500,0.05,8075.0
1199,2025-12-01,Desk,Furniture,5,12000,0.0,60000.0
1200,2025-12-01,Mouse,Accessories,3,1200,0.0,3600.0
1201,2025-12-01,Laptop,Electronics,2,65000,0.1,117000.0
1202,2025-12-01,Desk,Furniture,4,12000,0.0,48000.0
1203,2025-12-01,Keyboard,Accessories,5,2200,0.1,9900.0
1204,2025-12-01,Desk,Furniture,2,12000,0.1,21600.0
1205,2025-12-01,Laptop,Electronics,1,65000,0.15,55250.0
1206,2025-12-01,Laptop,Electronics,4,65000,0.05,247000.0
1207,2025-12-01,Office Chair,Furniture,1,8500,0.1,7650.0
1208,2025-12-01,Monitor,Electronics,1,18000,0.0,18000.0
1209,2025-12-01,Keyboard,Accessories,1,2200,0.1,1980.0
1210,2025-12-01,Monitor,Electronics,1,18000,0.1,16200.0
1211,2025-12-01,Headphones,Accessories,4,3500,0.0,14000.0
1212,2025-12-01,Laptop,Electronics,1,65000,0.0,65000.0
1213,2025-12-01,Monitor,Electronics,4,18000,0.1,64800.0
1214,2025-12-01,Mouse,Accessories,2,1200,0.1,2160.0
1215,2025-12-01,Smartphone,Electronics,1,28000,0.1,25200.0
1216,2025-12-01,Mouse,Accessories,5,1200,0.1,5400.0
